Order ID,Category,Qty,Size
171-9198151-1101146,kurta,1,3XL
406-7807733-3785945,kurta,1,S
405-5513694-8146768,kurta,1,XS
408-1298370-1920302,Set,1,L
403-4965581-9520319,kurta,1,6XL
402-4030358-5835511,kurta,1,XXL
405-8191138-5176316,Set,1,XS
403-9230474-9657916,kurta,1,3XL
404-9632124-1107550,Set,1,M
402-1465437-0579556,kurta,1,M
402-2764952-1492318,kurta,1,XL
406-7398201-3869914,kurta,1,M
171-9208368-0157156,kurta,1,M
171-2592464-6846743,Set,1,XL
405-9966506-3155561,kurta,1,XL
407-2189901-7515567,Set,1,S
406-1326801-8886709,kurta,1,XL
407-6599093-6553153,Bottom,1,3XL
403-1162895-2484367,Western Dress,1,XXL
405-1879750-2639521,kurta,1,3XL
408-7698765-2294756,Set,1,XXL
404-1856281-9996319,Western Dress,1,S
405-5257740-5301158,Set,1,XL
405-5257740-5301158,kurta,1,XL
403-7266170-1163500,Top,1,M
406-8961316-8137943,Set,1,S
406-8961316-8137943,Set,1,S
405-4908072-0260360,kurta,1,3XL
408-1482435-5202714,Set,1,M
171-0131752-2560336,Set,1,M
407-4235449-1353916,Set,1,S
404-6513062-3876305,kurta,1,3XL
407-9863928-5979501,kurta,1,XL
171-4644162-9093116,kurta,1,S
407-0542879-1795554,kurta,1,S
405-2660443-4165145,kurta,1,M
407-4097885-3129958,Top,1,L
405-0732969-3941948,Set,1,XL
404-6680046-0839536,Western Dress,1,M
407-7173744-5333154,kurta,1,S
408-4547464-4180323,kurta,1,XXL
171-4350114-4299568,Top,1,XS
407-4737202-9096304,Western Dress,1,M
406-2403215-8361103,Set,1,L
404-6578109-5618751,kurta,1,M
404-0696150-3898703,Set,1,S
406-7586136-6520337,Western Dress,1,M
405-9144614-1601126,kurta,1,XL
171-4607096-6413920,Set,1,3XL
404-6975277-1927553,kurta,1,XXL
171-1584788-8864335,Set,1,XXL
408-4101226-7217932,kurta,1,M
402-4774686-7773937,Top,1,XL
406-6386989-1689108,Set,1,XL
408-6428766-2839536,kurta,1,3XL
406-6586654-6641140,kurta,1,3XL
407-2882576-2777135,Set,1,M
403-2256919-4846738,Western Dress,1,3XL
402-4646784-8411501,kurta,1,3XL
405-2788163-4515521,kurta,1,XXL
402-5302912-6805151,Western Dress,1,M
408-5540360-9479519,Set,1,M
407-8580022-5578715,Western Dress,1,M
408-7712483-3825907,kurta,1,L
402-3660716-8589107,kurta,1,3XL
406-9941718-1734719,kurta,1,XL
407-7642883-3094732,Western Dress,1,L
405-9442254-2207515,kurta,1,6XL
406-4970885-3273941,kurta,1,XL
406-2942566-8263534,kurta,1,S
406-7501816-7391539,kurta,1,S
408-7971979-8745937,Western Dress,1,XS
406-3702147-1800341,Western Dress,1,XS
402-0251823-0845133,kurta,1,S
